task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cl,element_rmse_Cl,element_mae_Na,element_rmse_Na,mode,run_id
temperature,temperature_ood_0600K,small,10,600,2,320,69120,0.03609756952876777,0.048358841141207434,8.494940861858424e-15,1.1749072544742376,0.0054393854373807286,0.03809764405194444,0.051328186622174116,0.03409749500559108,0.04519482593306828,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed2
temperature,temperature_ood_0650K,small,10,600,2,320,69120,0.0433420631535663,0.05665467064598979,7.695233339433116e-15,1.432570595992729,0.006632271277744116,0.04505565309910958,0.05947875768800433,0.04162847320802302,0.05368222048223061,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed2
temperature,temperature_ood_0700K,small,10,600,2,320,69120,0.051533098522934535,0.06628960626576956,6.983476297239832e-15,1.7009228936396539,0.00787464302610951,0.053011234515875645,0.06931377569431366,0.050054962529993426,0.06312071210577302,baseline,temperature_low_train__baseline__small__n010_te0600_r1_seed2
temperature,temperature_ood_0600K,small,20,300,0,320,69120,0.036691734652096894,0.04907350990545401,7.773989785242463e-15,0.3107589310966432,0.0014386987550770519,0.03576449028223328,0.04762018545961515,0.03761897902196051,0.050485014466406214,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed0
temperature,temperature_ood_0650K,small,20,300,0,320,69120,0.04314426001166847,0.056671491718121254,7.561659631782902e-15,0.3286792604252696,0.0015216632427095815,0.04223765391626157,0.054958614313604465,0.04405086610707536,0.058334095174628724,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed0
temperature,temperature_ood_0700K,small,20,300,0,320,69120,0.050452159537237265,0.06518258737366657,7.067957330519903e-15,0.37774079078808426,0.001748799957352242,0.04951123516446995,0.06313378439710746,0.051393083910004585,0.06716892630637254,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed0
temperature,temperature_ood_0600K,small,20,300,1,320,69120,0.013577712194530028,0.01979382211816952,8.604228440844963e-15,0.12277554525062442,0.0005684053020862241,0.015678893887873517,0.022920194797378557,0.011476530501186535,0.016070328513807512,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed1
temperature,temperature_ood_0650K,small,20,300,1,320,69120,0.015886445663305188,0.02287197252976113,8.242018179061006e-15,0.15963913090527057,0.0007390700504873638,0.017719118650186622,0.02607562308197674,0.014053772676423758,0.019139387024954,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed1
temperature,temperature_ood_0700K,small,20,300,1,320,69120,0.01855066538958769,0.026241592001549376,8.503267534543113e-15,0.19347842130810022,0.0008957334319819455,0.020134103306978287,0.02947285147990685,0.0169672274721971,0.02255201381683936,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed1
temperature,temperature_ood_0600K,small,20,300,2,320,69120,0.03600127924243576,0.04831784094049083,7.89455306682285e-15,1.108268731739372,0.005130873758052649,0.037741756076053866,0.05091774779189097,0.03426080240881765,0.04556984162911395,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed2
