material,task,condition,role,structure_index,distance,retained_pcs_95pct
NaCl,deformation,lambda=1/3,low,8,3.41923007998502,14
NaCl,deformation,lambda=1/3,low,9,4.170946056971976,14
NaCl,deformation,lambda=1/3,low,10,3.969294574994416,14
NaCl,deformation,lambda=1/3,low,11,3.6922771901522413,14
NaCl,deformation,lambda=1/3,low,12,3.160360031011547,14
NaCl,deformation,lambda=1/3,low,13,2.976204572920965,14
NaCl,deformation,lambda=1/3,low,14,3.644819143254015,14
NaCl,deformation,lambda=1/3,low,15,3.26656625312665,14
NaCl,deformation,lambda=1/3,low,16,3.935646675874624,14
NaCl,deformation,lambda=1/3,low,17,3.907867077363857,14
NaCl,deformation,lambda=1/3,low,18,3.1511612096568467,14
NaCl,deformation,lambda=1/3,low,19,2.9285081276363587,14
NaCl,deformation,lambda=1/3,low,20,3.5595574932014866,14
NaCl,deformation,lambda=1/3,low,21,4.006545119691959,14
NaCl,deformation,lambda=1/3,low,22,4.620255425573252,14
NaCl,deformation,lambda=1/3,low,23,3.837480212522493,14
NaCl,deformation,lambda=1/3,low,24,5.082611031914378,14
NaCl,deformation,lambda=1/3,low,25,3.228012224266942,14
NaCl,deformation,lambda=1/3,low,26,3.740947065418874,14
NaCl,deformation,lambda=1/3,low,27,3.1725998366078816,14
NaCl,deformation,lambda=1/3,low,28,3.340603670446663,14
NaCl,deformation,lambda=1/3,low,29,3.697932873102203,14
NaCl,deformation,lambda=1/3,low,30,3.178412357648934,14
NaCl,deformation,lambda=1/3,low,31,4.912107473037549,14
NaCl,deformation,lambda=1/3,low,32,4.094374192349359,14
NaCl,deformation,lambda=1/3,low,33,3.1592804526515352,14
NaCl,deformation,lambda=1/3,low,34,2.4266984325131236,14
NaCl,deformation,lambda=1/3,low,35,2.3332226474927587,14
NaCl,deformation,lambda=1/3,low,36,3.4372064636468616,14
NaCl,deformation,lambda=1/3,low,37,4.362469720496248,14
NaCl,deformation,lambda=1/3,low,38,2.7818696990338156,14
NaCl,deformation,lambda=1/3,low,39,4.120858097242662,14
NaCl,deformation,lambda=1/3,low,40,2.755144643708315,14
NaCl,deformation,lambda=1/3,low,41,2.839161709639013,14
NaCl,deformation,lambda=1/3,low,42,3.128697061312057,14
NaCl,deformation,lambda=1/3,low,43,2.775677697855479,14
NaCl,deformation,lambda=1/3,low,44,2.7384600392738037,14
NaCl,deformation,lambda=1/3,low,45,3.3896774591335066,14
NaCl,deformation,lambda=1/3,low,46,2.815974753510002,14
NaCl,deformation,lambda=1/3,low,47,3.499767061945459,14
NaCl,deformation,lambda=1/3,low,48,2.949716278907388,14
NaCl,deformation,lambda=1/3,low,49,2.6897236709988084,14
NaCl,deformation,lambda=1/3,low,50,4.277444894630148,14
NaCl,deformation,lambda=1/3,low,51,3.8111142227423422,14
NaCl,deformation,lambda=1/3,low,52,2.633616685134049,14
NaCl,deformation,lambda=1/3,low,53,3.805881111778323,14
NaCl,deformation,lambda=1/3,low,54,3.6944649621891945,14
NaCl,deformation,lambda=1/3,low,55,3.3023105525291827,14
NaCl,deformation,lambda=1/3,low,56,3.203395289733834,14
NaCl,deformation,lambda=1/3,low,57,3.6299681462504965,14
NaCl,deformation,lambda=1/3,low,58,4.271690408197968,14
NaCl,deformation,lambda=1/3,low,59,3.9221147747637044,14
NaCl,deformation,lambda=1/3,low,60,4.22847327563639,14
NaCl,deformation,lambda=1/3,low,61,3.812864094016547,14
NaCl,deformation,lambda=1/3,low,62,3.633014725482526,14
NaCl,deformation,lambda=1/3,low,63,3.5366457948680616,14
NaCl,deformation,lambda=1/3,low,64,3.919556269780391,14
NaCl,deformation,lambda=1/3,low,65,4.481752700245583,14
NaCl,deformation,lambda=1/3,low,66,3.720304685820415,14
NaCl,deformation,lambda=1/3,low,67,2.880889279269789,14
NaCl,deformation,lambda=1/3,low,68,3.5956521410363504,14
NaCl,deformation,lambda=1/3,low,69,3.4110983938050947,14
NaCl,deformation,lambda=1/3,low,70,2.597348252869947,14
NaCl,deformation,lambda=1/3,low,71,2.9193308597738152,14
NaCl,deformation,lambda=1/3,low,72,2.996751538489023,14
NaCl,deformation,lambda=1/3,low,73,6.138985221987992,14
NaCl,deformation,lambda=1/3,low,74,3.9940148792262,14
NaCl,deformation,lambda=1/3,low,75,3.8639899963077955,14
NaCl,deformation,lambda=1/3,low,76,3.5166004514423257,14
NaCl,deformation,lambda=1/3,low,77,3.224654564164145,14
NaCl,deformation,lambda=1/3,low,78,3.336985687267065,14
NaCl,deformation,lambda=1/3,low,79,3.3902800542017353,14
NaCl,deformation,lambda=0.50,high,0,5.386761576607832,14
NaCl,deformation,lambda=0.50,high,1,4.884094840938961,14
NaCl,deformation,lambda=0.50,high,2,4.412726255074877,14
NaCl,deformation,lambda=0.50,high,3,3.9683428051664085,14
NaCl,deformation,lambda=0.50,high,4,6.089833470591943,14
NaCl,deformation,lambda=0.50,high,5,5.240540678620942,14
