cutoff_radius_over_r0,radius_squared,shell_multiplicity,shell_charge,shell_madelung_contribution,direct_madelung_sum,local_charge,delta_q,image_charge_correction,neutralized_madelung_sum,reference,direct_error,neutralized_error
1.0,1,6,-6,-6.0,-6.0,-5,5,5.0,-1.0,-1.7475645946331821,-4.252435405366818,0.7475645946331821
1.4142135623730951,2,12,12,8.485281374238571,2.4852813742385713,7,-7,-4.949747468305833,-2.4644660940672614,-1.7475645946331821,4.232845968871754,-0.7169014994340792
1.7320508075688772,3,8,-8,-4.618802153517007,-2.1335207792784354,-1,1,0.5773502691896258,-1.5561705100888097,-1.7475645946331821,-0.3859561846452533,0.19139408454437246
2.0,4,6,6,3.0,0.8664792207215646,5,-5,-2.5,-1.6335207792784354,-1.7475645946331821,2.614043815354747,0.11404381535474672
2.23606797749979,5,24,-24,-10.733126291998996,-9.86664707127743,-19,19,8.497058314499201,-1.3695887567782297,-1.7475645946331821,-8.119082476644248,0.3779758378549525
2.449489742783178,6,24,24,9.797958971132713,-0.06868810014471727,5,-5,-2.041241452319315,-2.1099295524640325,-1.7475645946331821,1.6788764944884649,-0.3623649578308503
2.8284271247461903,8,12,12,4.242640687119286,4.173952586974568,17,-17,-6.010407640085654,-1.8364550531110853,-1.7475645946331821,5.921517181607751,-0.08889045847790311
3.0,9,30,-30,-10.0,-5.826047413025432,-13,13,4.333333333333333,-1.4927140796920986,-1.7475645946331821,-4.078482818392249,0.2548505149410836
3.1622776601683795,10,24,24,7.589466384404111,1.7634189713786794,11,-11,-3.478505426185217,-1.7150864548065377,-1.7475645946331821,3.510983566011862,0.03247813982664449
3.3166247903554,11,24,-24,-7.236272269866324,-5.472853298487645,-13,13,3.9196474795109273,-1.5532058189767177,-1.7475645946331821,-3.7252887038544626,0.19435877565646442
3.4641016151377544,12,8,8,2.3094010767585034,-3.1634522217291416,-5,5,1.4433756729740645,-1.720076548755077,-1.7475645946331821,-1.4158876270959595,0.02748804587810505
3.605551275463989,13,24,-24,-6.656402354702748,-9.81985457643189,-29,29,8.043152845265823,-1.7767017311660673,-1.7475645946331821,-8.072289981798708,-0.02913713653288519
3.7416573867739413,14,48,48,12.828539611796364,3.008685035364474,19,-19,-5.077963596336064,-2.06927856097159,-1.7475645946331821,4.756249629997656,-0.32171396633840765
4.0,16,6,6,1.5,4.508685035364474,25,-25,-6.25,-1.7413149646355262,-1.7475645946331821,6.256249629997656,0.006249629997655992
4.123105625617661,17,48,-48,-11.641710001743974,-7.1330249663795,-23,23,5.578319375835658,-1.5547055905438416,-1.7475645946331821,-5.385460371746317,0.19285900408934054
4.242640687119285,18,36,36,8.485281374238568,1.352256407859068,13,-13,-3.0641293851417064,-1.7118729772826384,-1.7475645946331821,3.0998210024922503,0.035691617350543714
4.358898943540674,19,24,-24,-5.505977612893482,-4.153721205034414,-11,11,2.523573072576179,-1.6301481324582352,-1.7475645946331821,-2.406156610401232,0.11741646217494695
4.47213595499958,20,24,24,5.366563145999498,1.2128419409650837,13,-13,-2.9068883707497264,-1.6940464297846427,-1.7475645946331821,2.960406535598266,0.05351816484853944
4.58257569495584,21,48,-48,-10.474458731327642,-9.26161679036256,-35,35,7.637626158259733,-1.6239906321028261,-1.7475645946331821,-7.514052195729377,0.12357396253035602
4.69041575982343,22,24,24,5.116817192534648,-4.1447995978279115,-11,11,2.345207879911715,-1.7995917179161967,-1.7475645946331821,-2.397235003194729,-0.05202712328301451
4.898979485566356,24,24,24,4.898979485566357,0.7541798877384451,13,-13,-2.65361388801511,-1.8994340002766648,-1.7475645946331821,2.5017444823716275,-0.1518694056434826
