# cspbi3_320atom_train_like_00000 source=scripted_perturbation label=Ewald-QEq_teacher
320
  25.1600000000  0.0000000000  0.0000000000  0.0000000000  25.1600000000  0.0000000000  0.0000000000  0.0000000000  25.1600000000
Cs   0.0472487800   0.0595526300   25.1583816300  0.00000000  0.00000000  0.00000000   0.7542635000
Pb   3.0839089100   3.1768367800   3.1424298900  0.00000000  0.00000000  0.00000000   1.1592003900
I    3.1692370900   3.1618625900   0.0043067000  0.00000000  0.00000000  0.00000000  -0.6381594200
I    3.2004191600   0.0388126700   3.1655880200  0.00000000  0.00000000  0.00000000  -0.6367121200
I    25.1259821300   3.0971177900   3.1954064900  0.00000000  0.00000000  0.00000000  -0.6384319800
Cs   25.1299055000   25.1544816400   6.2655714600  0.00000000  0.00000000  0.00000000   0.7582576900
Pb   3.1596022400   3.1166972200   9.5298774800  0.00000000  0.00000000  0.00000000   1.1557915500
I    3.1693867900   3.1191393400   6.2599685000  0.00000000  0.00000000  0.00000000  -0.6353824000
I    3.0744845700   0.0274376400   9.4633919400  0.00000000  0.00000000  0.00000000  -0.6375195600
I    0.0452407400   3.1226189100   9.4136094700  0.00000000  0.00000000  0.00000000  -0.6350970200
Cs   25.1292732600   0.1038742200   12.5048587000  0.00000000  0.00000000  0.00000000   0.7592878700
Pb   3.1209053600   3.0697838200   15.7582938700  0.00000000  0.00000000  0.00000000   1.1556149700
I    3.1526583600   3.0619789000   12.6261767900  0.00000000  0.00000000  0.00000000  -0.6385212800
I    3.0234812800   25.0876118800   15.7371574300  0.00000000  0.00000000  0.00000000  -0.6380016600
I    0.0397240400   3.0133443200   15.6650319600  0.00000000  0.00000000  0.00000000  -0.6372751600
Cs   0.0430390100   0.0158650900   18.8824748800  0.00000000  0.00000000  0.00000000   0.7543857500
Pb   3.1228720500   3.0950003800   22.0869463100  0.00000000  0.00000000  0.00000000   1.1518969200
I    3.1572312600   3.2073516600   18.8187957300  0.00000000  0.00000000  0.00000000  -0.6384890200
I    3.1742527400   25.1237461500   22.0635751200  0.00000000  0.00000000  0.00000000  -0.6407300500
I    25.1341676300   3.1475590300   22.1249436500  0.00000000  0.00000000  0.00000000  -0.6381173300
Cs   0.0246786300   6.3221241300   0.0231737500  0.00000000  0.00000000  0.00000000   0.7575803600
Pb   3.2266737800   9.4972209400   3.1699406500  0.00000000  0.00000000  0.00000000   1.1534777300
I    3.0738255200   9.3397410700   0.1185210700  0.00000000  0.00000000  0.00000000  -0.6378245500
I    3.0749352500   6.1345040800   3.1256000000  0.00000000  0.00000000  0.00000000  -0.6370293600
I    25.0326950000   9.4705140500   3.0408028400  0.00000000  0.00000000  0.00000000  -0.6360001900
Cs   25.1220028000   6.2780999900   6.1883897800  0.00000000  0.00000000  0.00000000   0.7580241700
Pb   3.1251488200   9.3813272100   9.4482811500  0.00000000  0.00000000  0.00000000   1.1562595500
I    3.0458939300   9.3543538600   6.3061903500  0.00000000  0.00000000  0.00000000  -0.6375510600
I    3.1847835800   6.3452857100   9.4579145300  0.00000000  0.00000000  0.00000000  -0.6368134400
I    25.0640177900   9.4439039500   9.4323128500  0.00000000  0.00000000  0.00000000  -0.6366075000
Cs   0.0062783900   6.3573020400   12.6592997900  0.00000000  0.00000000  0.00000000   0.7565321900
Pb   3.1733970700   9.3907852000   15.6103247400  0.00000000  0.00000000  0.00000000   1.1572682600
I    3.1150024000   9.4284100000   12.5634668800  0.00000000  0.00000000  0.00000000  -0.6391717200
I    3.0880486900   6.3202948200   15.7192488200  0.00000000  0.00000000  0.00000000  -0.6379052000
I    0.0125329800   9.4246572100   15.7714793500  0.00000000  0.00000000  0.00000000  -0.6358930600
Cs   25.1395016700   6.2750127200   18.9110976100  0.00000000  0.00000000  0.00000000   0.7556679400
Pb   3.1562345100   9.4163707800   21.9647944800  0.00000000  0.00000000  0.00000000   1.1542152500
I    3.1271216300   9.5193277100   18.8897581000  0.00000000  0.00000000  0.00000000  -0.6356362200
I    3.0560198800   6.3041649400   22.0677348700  0.00000000  0.00000000  0.00000000  -0.6369827300
I    25.1475315400   9.3679305500   21.9055362100  0.00000000  0.00000000  0.00000000  -0.6368110800
Cs   0.0684022700   12.5615188400   25.0967204300  0.00000000  0.00000000  0.00000000   0.7558099300
Pb   3.1305928200   15.7361382800   3.0663883100  0.00000000  0.00000000  0.00000000   1.1504715100
I    3.1619250000   15.7340732500   25.1497565400  0.00000000  0.00000000  0.00000000  -0.6397339500
I    3.0480728400   12.5418226300   3.1836564600  0.00000000  0.00000000  0.00000000  -0.6393472800
I    25.0931370600   15.6568266800   3.0645275900  0.00000000  0.00000000  0.00000000  -0.6381982000
Cs   0.0473971300   12.5704795500   6.3285473700  0.00000000  0.00000000  0.00000000   0.7544098000
Pb   3.0931305100   15.7214702000   9.3983433800  0.00000000  0.00000000  0.00000000   1.1514284200
I    3.2838806200   15.7664083700   6.2712236400  0.00000000  0.00000000  0.00000000  -0.6386777700
I    3.2240150200   12.5835029000   9.4176011900  0.00000000  0.00000000  0.00000000  -0.6382046600
I    25.0909174400   15.7463783200   9.3658293400  0.00000000  0.00000000  0.00000000  -0.6408245300
Cs   25.1212253800   12.5555218600   12.5786841900  0.00000000  0.00000000  0.00000000   0.7550965500
Pb   3.2192701100   15.7605574700   15.7784695900  0.00000000  0.00000000  0.00000000   1.1521831800
I    3.1831697300   15.6802727600   12.5758651900  0.00000000  0.00000000  0.00000000  -0.6369625900
I    3.1116769300   12.5422242400   15.6967067100  0.00000000  0.00000000  0.00000000  -0.6363020000
I    0.0944185200   15.7571562700   15.6126814900  0.00000000  0.00000000  0.00000000  -0.6372686300
Cs   0.0106618800   12.6743113500   18.8095065800  0.00000000  0.00000000  0.00000000   0.7563346000
Pb   3.1845916200   15.7038459900   22.0835831800  0.00000000  0.00000000  0.00000000   1.1555179900
I    3.2107515700   15.7632389400   18.9490673600  0.00000000  0.00000000  0.00000000  -0.6384053900
I    3.0741263500   12.5568500300   21.9619677900  0.00000000  0.00000000  0.00000000  -0.6381115100
I    25.1355792700   15.8381845400   22.1163796300  0.00000000  0.00000000  0.00000000  -0.6375315700
Cs   25.1003481100   18.9021864600   0.0111500500  0.00000000  0.00000000  0.00000000   0.7566843900
Pb   3.1554193600   22.0122957900   3.0500953600  0.00000000  0.00000000  0.00000000   1.1574680300
I    3.0961599900   21.8818523000   0.0163093100  0.00000000  0.00000000  0.00000000  -0.6395422000
I    3.0983560200   18.9310090100   3.1731328400  0.00000000  0.00000000  0.00000000  -0.6380066900
I    0.0592442600   22.0282877200   3.2212806800  0.00000000  0.00000000  0.00000000  -0.6379939300
Cs   0.0764722900   18.8590483200   6.2609681000  0.00000000  0.00000000  0.00000000   0.7557463400
Pb   3.2559626800   22.0389224600   9.5337372500  0.00000000  0.00000000  0.00000000   1.1587611900
I    3.2057778700   21.9944271100   6.3174262900  0.00000000  0.00000000  0.00000000  -0.6344067200
